idCliente,numero,nombre,jornada,idJornadaSugerida,horaApertura,horaCierre,emailContacto,codArea1,telefono1,codArea2,telefono2,stock,fechaActualizacionStock,Formato,idFormatoLocal,REGION,COMUNA/CIUDAD,cutComuna,direccion,referencia,gmapShortUrl,gmapIframeUrl,createdAt,editedAt
5,418,Chillán,noche,3,08:30,22:00,,,42 - 2- 214413,,,1000,2016-04-05,MULTIF. GONDOLA,12,,Chillán,8401,Francisco Ramírez N°1 Esquina Avda. Argentina,,,,,
5,419,Quillota,noche,3,09:30,21:30,,,33 - 2- 269530,,33 - 2- 269530,1000,2016-04-05,MULTIF. GONDOLA,12,,Quillota,5501,Chacabuco N° 299 L-13,,,,,
5,420,Antofagasta 7,noche,3,09:00,22:00,,,55- 2- 267900,,55- 2- 267900,1000,2016-04-05,MULTIFUNCIONAL,13,,Antofagasta,2101,Prat N°582-598,,,,,
5,421,Patio Bosquemar,noche,3,09:00,22:00,,,41 - 2- 392320,,41 - 2- 392320,1000,2016-04-05,STORE,14,,San Pedro de la Paz,8108,Avda. Portal de San Pedro N°6950,,,,,
5,422,Jumbo Valparaíso,noche,3,08:30,22:30,,,32 - 2- 229841,,32 - 2- 229841,1000,2016-04-05,MULTIFUNCIONAL,13,,Valparaíso,5101,Avda. Argentina N°51 L- 2017,,,,,
5,423,Antofagasta Casa Gimenez,noche,3,09:00,22:30,,,55 - 2- 287907,,,1000,2016-04-05,STORE,14,,Antofagasta,2101,Manuel Antonio Matta N° 2503,,,,,
5,424,Líder Rancagua,noche,3,08:30,22:00,,,72 - 2- 740665,,,1000,2016-04-05,MULTIFUNCIONAL,13,,Rancagua,6101,Recreo N°620,,,,,
5,426,Unimarc Constitución,noche,3,09:00,21:00,,,71 - 2- 670361,,,1000,2016-04-05,STORE,14,,Constitución,8101,Vial N° 224,,,,,
5,428,Mall Plaza La Serena,noche,3,10:30,21:30,,,51 - 2- 471695,,,1000,2016-04-05,STORE,14,,La Serena,4101,Avda. Alberto Solari N°1400 L-104-B,,,,,
5,430,Concepción 10,noche,3,08:30,21:30,,,41 - 2- 523624,,,1000,2016-04-05,STORE,14,,Concepción,8101,Barros Arana N° 472,,,,,
5,431,Talca,noche,3,09:00,22:00,,,71 - 2- 510131,,,1000,2016-04-05,STORE,14,,Talca,7101,1 Sur N° 1599,,,,,
5,432,SMU Puerto Montt,noche,3,09:00,21:00,,,65 - 2- 220073,,,1000,2016-04-05,MULTIF. GONDOLA,12,,Puerto Montt,10101,Volcán Hornopiren N° 1728 L 6 y 7,,,,,
5,433,Jumbo Calama,noche,3,08:30,22:30,,,55 - 2- 347913,,,1000,2016-04-05,MULTIFUNCIONAL,13,,Calama,2201,Fundo San Juan Centro Comercial N° 1051,,,,,
5,434,Pucón,noche,3,09:00,21:00,,,45 - 2- 443970,,,1000,2016-04-05,STORE,14,,Pucón,9115,Avda. Libertador Bernardo O'Higgins N° 717 L-1 y 2,,,,,
5,435,Portal Temuco,noche,3,10:00,21:00,,,45 - 2- 211350,,,1000,2016-04-05,STORE,14,,Temuco,9101,Avda. Alemania N° 0671 L - 1107,,,,,
5,436,Machalí,noche,3,09:00,22:00,,,72 - 2- 280470,,,1000,2016-04-05,STORE,14,,Machali,6108,Avda. Padre Hurtado 3 Locales 4B-5- 6 del 1°Piso,,,,,
5,437,SMU La Serena,noche,3,08:30,22:00,,,51 - 2- 294841,,,1000,2016-04-05,MULTIF. GONDOLA,12,,La Serena,4101,Avda. 4 Esquinas N° S/N L-9-10-11,,,,,
5,438,SMU Valdivia,noche,3,09:00,22:00,,,63 - 2- 288161,,,1000,2016-04-05,MULTIFUNCIONAL,13,,Valdivia,14101,Avda. Circunvalación Sur S/N Esq. Av. Simpson,,,,,
5,439,Chiguayante 2,noche,3,09:00,22:00,,,41 - 2- 361556,,,1000,2016-04-05,STORE,14,,Chiguayante,8103,Avda. 8 Oriente N°720 L-1 y 2,,,,,
5,440,Vivar/Ramírez,noche,3,08:30,22:00,,,55 - 2- 342823,,,1000,2016-04-05,STORE,14,,Calama,2201,Vivar N° 1902-1912,,,,,
