idCliente,numero,Formato,stock,fechaStock
2,911,MG,25699,2016-04-04
2,917,AS,22638,2016-04-04
2,925,MG,23022,2016-04-04
2,927,AS,24288,2016-04-04
2,928,MF,14287,2016-04-04
2,929,MG,18219,2016-04-04
2,933,AS,21245,2016-04-04
2,934,AS,22119,2016-04-04
2,941,AS,26159,2016-04-04
2,942,AS,27599,2016-04-04
2,943,AS,23024,2016-04-04
2,944,MG,24681,2016-04-04
2,945,AS,22846,2016-04-04
2,946,MG,21362,2016-04-04
2,947,MG,19577,2016-04-04
2,950,MG,27631,2016-04-04
2,952,MG,19895,2016-04-04
2,956,MF,21142,2016-04-04
2,957,MG,18996,2016-04-04
2,958,MG,30864,2016-04-04
2,959,MG,19380,2016-04-04
2,960,MG,24086,2016-04-04
2,961,MF,19975,2016-04-04
2,963,MG,19841,2016-04-04
2,964,MF,12042,2016-04-04
2,965,AS,23555,2016-04-04
2,966,MG,18785,2016-04-04
2,967,AS,28774,2016-04-04
2,968,AS,22314,2016-04-04
2,969,MG,21121,2016-04-04
2,970,AS,24906,2016-04-04
2,971,MG,19170,2016-04-04
2,974,MG,19454,2016-04-04
2,977,AS,28219,2016-04-04
2,978,MG,23234,2016-04-04
2,979,MF,15750,2016-04-04
2,990,AS,21335,2016-04-04
2,992,MG,24666,2016-04-04
2,993,AS,30399,2016-04-04
2,996,MF,1966,2016-04-04
2,999,MF,17617,2016-04-04
